




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
negative regulation of positive chemotaxis (GO:0050928)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system myelin formation (GO:0032290)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of negative chemotaxis (GO:0050925)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
histone succinylation (GO:0106077)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of negative chemotaxis (GO:0050924)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA modification (GO:1900864)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of negative chemotaxis (GO:0050923)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
embryonic hindgut morphogenesis (GO:0048619)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106071)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
transcription open complex formation at RNA polymerase II promoter (GO:0001113)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription open complex formation (GO:0001112)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
embryonic ectodermal digestive tract development (GO:0048611)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II promoter clearance (GO:0001111)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
central nervous system myelin formation (GO:0032289)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
myelin assembly (GO:0032288)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system myelin maintenance (GO:0032287)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
central nervous system myelin maintenance (GO:0032286)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
sensory perception of sweet taste (GO:0050916)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sensory perception of sour taste (GO:0050915)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cobalamin metabolic process (GO:0106064)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
promoter clearance during DNA-templated transcription (GO:0001109)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus involved in sensory perception of sound (GO:0050910)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide catabolic process (GO:0044247)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
lipid digestion (GO:0044241)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of gonadotropin secretion (GO:0032278)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of gonadotropin secretion (GO:0032277)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of gonadotropin secretion (GO:0032276)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
luteinizing hormone secretion (GO:0032275)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
gonadotropin secretion (GO:0032274)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sensory perception of taste (GO:0050909)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
detection of light stimulus involved in visual perception (GO:0050908)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	36	0	.95	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcineurin-mediated signaling (GO:0106057)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
diapedesis (GO:0050904)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
leukocyte adhesive activation (GO:0050902)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
leukocyte tethering or rolling (GO:0050901)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of cellular protein metabolic process (GO:0032268)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
IMP salvage (GO:0032264)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
GMP salvage (GO:0032263)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide salvage (GO:0032262)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
purine nucleotide salvage (GO:0032261)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
guanine deglycation, glyoxal removal (GO:0106046)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanine deglycation, methylglyoxal removal (GO:0106045)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanine deglycation (GO:0106044)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of GABA-A receptor activity (GO:0106040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sperm flagellum assembly (GO:0120316)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
establishment of secretory granule localization (GO:0032254)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dense core granule localization (GO:0032253)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
secretory granule localization (GO:0032252)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900827)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900825)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein maturation by [4Fe-4S] cluster transfer (GO:0106035)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
protein maturation by [2Fe-2S] cluster transfer (GO:0106034)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of pigmentation (GO:0120305)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
CTP salvage (GO:0044211)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleoside transport (GO:0032244)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of nucleoside transport (GO:0032242)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleobase-containing compound transport (GO:0032241)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
neuron projection retraction (GO:0106028)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleobase-containing compound transport (GO:0032240)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of vesicle docking (GO:0106022)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle docking (GO:0106020)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
AMP salvage (GO:0044209)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
'de novo' AMP biosynthetic process (GO:0044208)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
UMP salvage (GO:0044206)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
'de novo' UMP biosynthetic process (GO:0044205)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of nucleobase-containing compound transport (GO:0032239)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
activation of store-operated calcium channel activity (GO:0032237)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of actin filament bundle assembly (GO:0032232)	23	0	.61	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response to wounding (GO:0106016)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of inflammatory response to wounding (GO:0106015)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of inflammatory response to wounding (GO:0106014)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic transmission, GABAergic (GO:0032229)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission, dopaminergic (GO:0032226)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission, cholinergic (GO:0032224)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, cholinergic (GO:0032222)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
RNA 5'-cap (guanine-N7)-methylation (GO:0106005)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intestinal hexose absorption (GO:0106001)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
riboflavin transport (GO:0032218)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere maintenance via telomerase (GO:0032212)	26	0	.68	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via telomerase (GO:0032211)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via telomerase (GO:0032210)	41	0	1.08	-	 < 0.01	6.27E-01	1.00E00
negative regulation of telomere maintenance via recombination (GO:0032208)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via recombination (GO:0032207)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere maintenance (GO:0032206)	60	0	1.58	-	 < 0.01	4.08E-01	1.00E00
negative regulation of telomere maintenance (GO:0032205)	33	0	.87	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance (GO:0032204)	82	0	2.16	-	 < 0.01	2.77E-01	1.00E00
telomere assembly (GO:0032202)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via semi-conservative replication (GO:0032201)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
telomere organization (GO:0032200)	74	0	1.95	-	 < 0.01	2.67E-01	1.00E00
positive regulation of polysome binding (GO:1905698)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of polysome binding (GO:1905696)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidic acid biosynthetic process (GO:1905693)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid droplet disassembly (GO:1905691)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane repair (GO:1905684)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of neurotrophin TRK receptor signaling pathway (GO:0051388)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
modification of dendritic spine (GO:0098886)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
modification of postsynaptic actin cytoskeleton (GO:0098885)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
response to mineralocorticoid (GO:0051385)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
postsynaptic neurotransmitter receptor internalization (GO:0098884)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
kinetochore organization (GO:0051383)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
kinetochore assembly (GO:0051382)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
maintenance of postsynaptic specialization structure (GO:0098880)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
RNA localization to chromatin (GO:1990280)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of adaptive immune memory response (GO:1905676)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of adaptive immune memory response (GO:1905674)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of lysosome organization (GO:1905673)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of lysosome organization (GO:1905672)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of lysosome organization (GO:1905671)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport to plasma membrane (GO:0098877)	21	0	.55	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	105	0	2.76	-	 < 0.01	1.17E-01	1.00E00
action potential propagation (GO:0098870)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to endosome (GO:1905667)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomerase RNA reverse transcriptase activity (GO:1905663)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular oxidant detoxification (GO:0098869)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of telomerase RNA reverse transcriptase activity (GO:1905661)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to transition metal nanoparticle (GO:1990267)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to potassium ion starvation (GO:0051365)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neutrophil migration (GO:1990266)	19	0	.50	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
pre-mRNA catabolic process (GO:1990261)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of artery morphogenesis (GO:1905652)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide-mediated programmed cell death (GO:1901299)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
intestinal lipid absorption (GO:0098856)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
histone glutamine methylation (GO:1990258)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
signal clustering (GO:1990256)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidoreductase activity (GO:0051354)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidoreductase activity (GO:0051353)	28	0	.74	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	39	0	1.03	-	 < 0.01	6.27E-01	1.00E00
positive regulation of ligase activity (GO:0051351)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of lyase activity (GO:0051350)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA biosynthetic process (GO:1901290)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proline import across plasma membrane (GO:1905647)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA methylation (GO:1905643)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA methylation (GO:1905642)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of cadmium ion (GO:0098849)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA catabolic process (GO:1901289)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
post-embryonic animal morphogenesis (GO:0009886)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to DNA damage (GO:1990248)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051344)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051343)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of oxidoreductase activity (GO:0051341)	44	0	1.16	-	 < 0.01	6.30E-01	1.00E00
regulation of ligase activity (GO:0051340)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1905636)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to chromatin (GO:1905634)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
folate transmembrane transport (GO:0098838)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of serotonin biosynthetic process (GO:1905627)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic interphase (GO:0051329)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
paranodal junction maintenance (GO:1990227)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
interphase (GO:0051325)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
prophase (GO:0051324)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
metaphase (GO:0051323)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA cap binding (GO:1905612)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA cap binding (GO:1905610)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G1 phase (GO:0051318)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
evoked excitatory postsynaptic potential (GO:0098817)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage colony-stimulating factor production (GO:1901258)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage colony-stimulating factor production (GO:1901256)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular transport of viral material (GO:1901254)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular transport of viral material (GO:1901252)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic metaphase plate congression (GO:0051311)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
neurotransmitter reuptake (GO:0098810)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of lung goblet cell differentiation (GO:1901250)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of smooth muscle cell-matrix adhesion (GO:1905609)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of presynapse assembly (GO:1905608)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of extracellular matrix disassembly (GO:0090091)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood-brain barrier permeability (GO:1905605)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905601)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
female meiosis chromosome separation (GO:0051309)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of lung goblet cell differentiation (GO:1901249)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905600)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic chromosome separation (GO:0051307)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
mitotic sister chromatid separation (GO:0051306)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
chromosome separation (GO:0051304)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
regulation of renal system process (GO:0098801)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein deubiquitination (GO:0090086)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of protein deubiquitination (GO:0090085)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of inclusion body assembly (GO:0090084)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of inclusion body assembly (GO:0090083)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway (GO:0090080)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
abscission (GO:0009838)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
foam cell differentiation (GO:0090077)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
relaxation of skeletal muscle (GO:0090076)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein homodimerization activity (GO:0090074)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of ribosome biogenesis (GO:0090071)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
unidimensional cell growth (GO:0009826)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of thrombin-activated receptor signaling pathway (GO:0070495)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of thrombin-activated receptor signaling pathway (GO:0070494)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
thrombin-activated receptor signaling pathway (GO:0070493)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	33	0	.87	-	 < 0.01	1.00E00	1.00E00
regulation of ribosome biogenesis (GO:0090069)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of thalamus size (GO:0090067)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule nucleation (GO:0090063)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
post-embryonic camera-type eye morphogenesis (GO:0048597)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
embryonic camera-type eye morphogenesis (GO:0048596)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine-N7)-methylation (GO:0070476)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
rRNA base methylation (GO:0070475)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of uterine smooth muscle contraction (GO:0070474)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of heart looping (GO:1901207)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of uterine smooth muscle contraction (GO:0070472)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of extracellular matrix assembly (GO:1901203)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of extracellular matrix assembly (GO:1901202)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix assembly (GO:1901201)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
determination of affect (GO:0050894)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sensory processing (GO:0050893)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
intestinal absorption (GO:0050892)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
multicellular organismal water homeostasis (GO:0050891)	21	0	.55	-	 < 0.01	1.00E00	1.00E00
positive regulation of tubulin deacetylation (GO:0090044)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of tubulin deacetylation (GO:0090043)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
tubulin deacetylation (GO:0090042)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
thyroid-stimulating hormone secretion (GO:0070460)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
endocrine process (GO:0050886)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
neuromuscular process controlling posture (GO:0050884)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
musculoskeletal movement, spinal reflex action (GO:0050883)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
voluntary musculoskeletal movement (GO:0050882)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of chaperone-mediated protein complex assembly (GO:0090035)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of chaperone-mediated protein complex assembly (GO:0090034)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of steroid hormone biosynthetic process (GO:0090031)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
prolactin secretion (GO:0070459)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
