




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
positive regulation of dendrite morphogenesis (GO:0050775)	30	0	.25	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendrite morphogenesis (GO:0050774)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of dendrite development (GO:0050773)	60	1	.51	+	1.98	4.02E-01	1.00E00
cell maturation (GO:0048469)	46	0	.39	-	 < 0.01	1.00E00	1.00E00
positive regulation of axonogenesis (GO:0050772)	42	0	.35	-	 < 0.01	1.00E00	1.00E00
cell development (GO:0048468)	562	8	4.73	+	1.69	1.35E-01	1.00E00
negative regulation of axonogenesis (GO:0050771)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of axonogenesis (GO:0050770)	75	2	.63	+	3.17	1.35E-01	1.00E00
PERK-mediated unfolded protein response (GO:0036499)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
IRE1-mediated unfolded protein response (GO:0036498)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tight junction organization (GO:0120193)	11	1	.09	+	10.80	9.58E-02	1.00E00
positive regulation of translation in response to endoplasmic reticulum stress (GO:0036493)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of fat cell proliferation (GO:0070346)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tight junction assembly (GO:0120192)	10	1	.08	+	11.88	8.82E-02	1.00E00
eiF2alpha phosphorylation in response to endoplasmic reticulum stress (GO:0036492)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of fat cell proliferation (GO:0070345)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of termination of RNA polymerase II transcription (GO:0120191)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036491)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of fat cell proliferation (GO:0070344)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to endoplasmic reticulum stress (GO:0036490)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
brown fat cell proliferation (GO:0070342)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fat cell proliferation (GO:0070341)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of neurogenesis (GO:0050769)	116	1	.98	+	1.02	1.00E00	1.00E00
negative regulation of neurogenesis (GO:0050768)	59	0	.50	-	 < 0.01	1.00E00	1.00E00
regulation of neurogenesis (GO:0050767)	166	1	1.40	-	.72	1.00E00	1.00E00
positive regulation of phagocytosis (GO:0050766)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
negative regulation of phagocytosis (GO:0050765)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of phagocytosis (GO:0050764)	53	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to chromatin (GO:0120187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to chromatin (GO:0120186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ventral trunk neural crest cell migration (GO:0036486)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to bacterial lipopeptide (GO:0070339)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trunk neural crest cell migration (GO:0036484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of molecular function (GO:0044093)	583	5	4.91	+	1.02	1.00E00	1.00E00
positive regulation of focal adhesion disassembly (GO:0120183)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0036483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of molecular function (GO:0044092)	305	1	2.57	-	.39	5.15E-01	1.00E00
regulation of focal adhesion disassembly (GO:0120182)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane biogenesis (GO:0044091)	27	2	.23	+	8.80	2.39E-02	1.00E00
focal adhesion disassembly (GO:0120181)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:0036481)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of vacuole organization (GO:0044090)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
cell-substrate junction disassembly (GO:0120180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	225	4	1.89	+	2.11	1.22E-01	1.00E00
regulation of vacuole organization (GO:0044088)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
steroid hormone biosynthetic process (GO:0120178)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component biogenesis (GO:0044087)	395	6	3.33	+	1.80	1.43E-01	1.00E00
cellular component biogenesis (GO:0044085)	774	10	6.52	+	1.53	1.36E-01	1.00E00
neuron death in response to oxidative stress (GO:0036475)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride homeostasis (GO:0070328)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cell death in response to hydrogen peroxide (GO:0036474)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transport (GO:0070327)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by BDNF (GO:0099191)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cell death in response to oxidative stress (GO:0036473)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipoprotein metabolic process (GO:0050748)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipoprotein metabolic process (GO:0050747)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein metabolic process (GO:0050746)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton organization (GO:0099188)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton organization (GO:0099187)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of cold stimulus involved in thermoception (GO:0120169)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of hot stimulus involved in thermoception (GO:0120168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling via endosome (GO:0036466)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling (GO:0036465)	35	1	.29	+	3.39	2.61E-01	1.00E00
positive regulation of G0 to G1 transition (GO:0070318)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cold-induced thermogenesis (GO:0120163)	21	1	.18	+	5.66	1.69E-01	1.00E00
regulation of G0 to G1 transition (GO:0070316)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of cold-induced thermogenesis (GO:0120162)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
TRAIL-activated apoptotic signaling pathway (GO:0036462)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition involved in cell differentiation (GO:0070315)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cold-induced thermogenesis (GO:0120161)	49	1	.41	+	2.42	3.44E-01	1.00E00
regulation of anion transport (GO:0044070)	39	0	.33	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition (GO:0070314)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
olefin metabolic process (GO:1900673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	71	2	.60	+	3.35	1.23E-01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	97	2	.82	+	2.45	2.00E-01	1.00E00
regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	197	6	1.66	+	3.62	6.18E-03	1.00E00
modulation by symbiont of host cellular process (GO:0044068)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen catabolic process (GO:0120158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of postsynapse organization (GO:0099175)	62	3	.52	+	5.75	1.65E-02	1.00E00
regulation of presynapse organization (GO:0099174)	15	2	.13	+	15.84	8.54E-03	1.00E00
regulation of respiratory system process (GO:0044065)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
lens fiber cell morphogenesis (GO:0070309)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynapse organization (GO:0099173)	51	3	.43	+	6.99	9.96E-03	1.00E00
presynapse organization (GO:0099172)	14	1	.12	+	8.48	1.18E-01	1.00E00
lens fiber cell development (GO:0070307)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
presynaptic modulation of chemical synaptic transmission (GO:0099171)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of excretion (GO:0044062)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lens fiber cell differentiation (GO:0070306)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
response to cGMP (GO:0070305)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cap mRNA methylation (GO:0036451)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endocrine process (GO:0044060)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	54	0	.45	-	 < 0.01	1.00E00	1.00E00
negative regulation of appetite (GO:0032099)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of appetite (GO:0032098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	86	1	.72	+	1.38	5.21E-01	1.00E00
cellular response to hydrogen peroxide (GO:0070301)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to food (GO:0032096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to food (GO:0032095)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to food (GO:0032094)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response (GO:0050729)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
negative regulation of inflammatory response (GO:0050728)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein binding (GO:0032092)	45	1	.38	+	2.64	3.21E-01	1.00E00
regulation of inflammatory response (GO:0050727)	100	0	.84	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein binding (GO:0032091)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
regulation of digestive system process (GO:0044058)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of system process (GO:0044057)	184	5	1.55	+	3.23	1.94E-02	1.00E00
calcium import into the mitochondrion (GO:0036444)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
translocation of peptides or proteins into host cell cytoplasm (GO:0044053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of presynaptic dense core granule exocytosis (GO:0099161)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein secretion (GO:0050714)	60	0	.51	-	 < 0.01	1.00E00	1.00E00
regulation of modification of postsynaptic structure (GO:0099159)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of recycling endosome localization within postsynapse (GO:0099158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of lens transparency (GO:0036438)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic density assembly (GO:0099151)	7	1	.06	+	16.97	6.49E-02	1.00E00
glucan metabolic process (GO:0044042)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic specialization assembly (GO:0099150)	10	1	.08	+	11.88	8.82E-02	1.00E00
positive regulation of endodeoxyribonuclease activity (GO:0032079)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of deoxyribonuclease activity (GO:0032077)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclease activity (GO:0032075)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclease activity (GO:0032074)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein secretion (GO:0050709)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of protein secretion (GO:0050708)	96	0	.81	-	 < 0.01	1.00E00	1.00E00
regulation of restriction endodeoxyribonuclease activity (GO:0032072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endodeoxyribonuclease activity (GO:0032071)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of deoxyribonuclease activity (GO:0032070)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic neurotransmitter receptor internalization (GO:0099149)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle docking (GO:0099148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic actin cytoskeleton organization (GO:0099140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA methylation (GO:0044030)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of nuclease activity (GO:0032069)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
bleb assembly (GO:0032060)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
hypomethylation of CpG island (GO:0044029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA hypomethylation (GO:0044028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hypermethylation of CpG island (GO:0044027)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA hypermethylation (GO:0044026)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational initiation in response to stress (GO:0032058)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational initiation in response to stress (GO:0032057)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation in response to stress (GO:0032056)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation in response to stress (GO:0032055)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary basal body organization (GO:0032053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of monocyte aggregation (GO:1900625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of monocyte aggregation (GO:1900623)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiolipin metabolic process (GO:0032048)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
microtubule-based protein transport (GO:0099118)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNA 3'-end processing (GO:0000495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host process (GO:0044003)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule-based transport (GO:0099111)	74	0	.62	-	 < 0.01	1.00E00	1.00E00
movement in host (GO:0044000)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
response to magnesium ion (GO:0032026)	4	1	.03	+	29.69	4.11E-02	1.00E00
positive regulation of insulin secretion (GO:0032024)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
ISG15-protein conjugation (GO:0032020)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA (GO:0000470)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of ARF protein signal transduction (GO:0032014)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ARF protein signal transduction (GO:0032012)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
ARF protein signal transduction (GO:0032011)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cleavage involved in rRNA processing (GO:0000469)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA (GO:0000460)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate interconversion (GO:0035999)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of TOR signaling (GO:0032008)	22	2	.19	+	10.80	1.67E-02	1.00E00
negative regulation of TOR signaling (GO:0032007)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of TOR signaling (GO:0032006)	43	2	.36	+	5.52	5.37E-02	1.00E00
cell-cell signaling by wnt (GO:0198738)	82	0	.69	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid beta-oxidation (GO:0032000)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming involved in rRNA processing (GO:0000459)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
chondrocyte proliferation (GO:0035988)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endodermal cell differentiation (GO:0035987)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to trichostatin A (GO:0035984)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to trichostatin A (GO:0035983)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hemoglobin metabolic process (GO:0020027)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of branching morphogenesis of a nerve (GO:1905492)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization assembly (GO:0098698)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
skin morphogenesis (GO:0043589)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
skin development (GO:0043588)	60	0	.51	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	11	1	.09	+	10.80	9.58E-02	1.00E00
tongue morphogenesis (GO:0043587)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tongue development (GO:0043586)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nose morphogenesis (GO:0043585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle cycle (GO:0098693)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nose development (GO:0043584)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ear development (GO:0043583)	47	0	.40	-	 < 0.01	1.00E00	1.00E00
aggrephagy (GO:0035973)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
calcium-dependent self proteolysis (GO:1990092)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium-dependent self proteolysis (GO:1990091)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to nerve growth factor stimulus (GO:1990090)	17	1	.14	+	6.99	1.40E-01	1.00E00
peptidyl-threonine dephosphorylation (GO:0035970)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter by galactose (GO:0000435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter by glucose (GO:0000432)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter by galactose (GO:0000431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to nerve growth factor (GO:1990089)	17	1	.14	+	6.99	1.40E-01	1.00E00
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear matrix organization (GO:0043578)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	40	0	.34	-	 < 0.01	1.00E00	1.00E00
regulation of respiratory gaseous exchange (GO:0043576)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
lens fiber cell apoptotic process (GO:1990086)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to topologically incorrect protein (GO:0035966)	55	0	.46	-	 < 0.01	1.00E00	1.00E00
cardiolipin acyl-chain remodeling (GO:0035965)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peroxisomal transport (GO:0043574)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle budding (GO:0035964)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
vitamin transport (GO:0051180)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA repeat elements (GO:0043570)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbon catabolite regulation of transcription from RNA polymerase II promoter (GO:0000429)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to membrane (GO:1905477)	44	1	.37	+	2.70	3.15E-01	1.00E00
negative regulation of protein localization to membrane (GO:1905476)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to membrane (GO:1905475)	94	3	.79	+	3.79	4.63E-02	1.00E00
mitophagy (GO:0000423)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
autophagy of mitochondrion (GO:0000422)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
localization (GO:0051179)	1461	15	12.30	+	1.22	3.90E-01	1.00E00
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
